Service Kind	User	Wallet	Invoice
		ZEBEDEE	lnbc120n1pj6wqlmpp52y6an7hq4taxadsc2dxdjq3v7rh3nuhpu73d99a6q6p3tpr2z5ssdqvtfz5y32yg4zscqzzsxqzjcsp5rpdfpgxq63m2ymdd2esaq8uxkjnzhtjrp4uvc034sp3s0ylw2wkq9qyyssqthme4j2q4uwmknq2myqmzhkdkd90hha9fg2ul3nwwn9rg9v29dz8vz8pq96hdykwfzdrffsyrpl5cwyc7lxmtdkx339dtsu6455gxqqpf65xsv
		coinos	lnbc27u1pjmp6jusp55kapartsh8jr2dvg538hnsqcaeaqyaujjj0qmpqx8cqzwxl4y3eqpp55ujktk0pscwe7m4mpwwxv06epxzurmn6d0vlzc3cggjrsmshretqhp5uwcvgs5clswpfxhm7nyfjmaeysn6us0yvjdexn9yjkv3k7zjhp2sxq9z0rgqcqpnrzjqtahnsafzgwctvfxdpaazy02a0ep4242tjljxt3tdsaalzqr7sqcyryy8sqqxssqqyqqqfcsqqqqqzsq9q9qxpqysgqwg7j72jjx873aepqp0qaslwp3887ps2cc0a3zteus3p5zd9fmzxpy5ythgny7t4glt8ar7g2gda2wv9zc4a3jxgv9qynqxw08mnn0ncqp0cyz8
		Current	lnbc210n1p37le6zpp5qtgz4nt0lkl8sncn0jjc4uls8g0m7cf77lr4qrnf5f5tnr909fsqdqqcqzpgxqyz5vqsp58x4jdltl88npmr0r560ppexaqsgknwv3q7uvc67q9p8t46xt6u0s9qyyssq2nqlzhjwaa976mk8ahyny98w40z42y7tefckeyr5d6nra9vkrkh302n4lq9fcqracjce9wp68sdhlg2esye9lmm9s6rvy5td5cc3flqpf8vxzy
		tippin.me	
Business Wallet		lipa for Business	LNBC1140N1PJ64FV9PP5C73PHSUA89FAMFEU34NRZCS5QS8WPV303HYGSJJ89LFSN3RD04FQDQL2PSHJGPS9CCRGGZRFPRZQTFQD35HQCGCQZZSXQYZ5VQSP5M6GR4X8389DV3MHLQ9RSNHFZQ4ZVTLH8WTLYQRWPE80PQ9505AQQ9QYYSSQ80HAM8AHTSVTZ8LX5WDYSS4RGNRRQSPZ6Q40USVRTT5EFKT8KGVPZTT0X0KLNPMDP6W2CVELS3T44JZUCPHLN0TU43L7C2GR82KJX2CQNW90TQ
		OpenNode	
		IBEX	
			
Exchange		Binance	
		Bitfinex	
		Kraken	lnbc10u1pj6jthgpp53z7wm9khh2r0tkkc8qut7rr8ysphemym49ex88gz5yphs02s7a5qdqhfdexz6m9dcsygetsdaekjaqcqzysxqrrsssp5l2ptqg4sj6dmnze65etlsdv0lghtjql5jekw2yj036k0znpv0a4s9qyyssq54a007cdc37xmdgn8fwsgjhu9qac5dvsyacs5z4ghv4mkkdsm7tq5tl5d8h492a8eqv2hpjat2axmukmsam388a5m5aejdxu7fmk7qsq99g28p
		OKX	
		Okcoin	
		Bipa	
